Job No,Job Name,Chargeable,Billing Basis,Job Group,First Booked,Last Booked,Total Hours,Last Fully Billed Date,Override Billing Basis
585,CBP Team Leader [WT],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4527.75,,
586,CBA DP1 Tech [NP],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4741.5,,
587,CBA South Tech [TN],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4552.0,,
724,DTTL SYD Site Team Coordinator [DH],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4486.0,,
725,DTTL MEL Tech [DS],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4607.0,,
729,DTTL Consulting [CONS],Chargeable,Recurring,Consulting,2024-11-19,2024-11-19,0.5,,
732,Bank West Contract,Chargeable,Recurring,Support,2024-07-01,2026-08-21,4616.25,,
1144,Bankwest PER Half Tech [ONS],Chargeable,Recurring,Support,2024-08-26,2026-08-14,2100.5,,
1350,CBA Brisbane Onsite (1280),Chargeable,Recurring,Support,2024-07-01,2026-08-21,3967.42,,
1400,DTTL Melb Tech 2 [CD],Chargeable,Recurring,Support,2024-07-01,2026-08-21,5005.75,,
1401,DTTL SYD 2nd Level [CL],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4861.93,,
1530,DTTL BNE Onsite,Chargeable,Recurring,Support,2024-07-01,2026-08-21,4875.95,,
1668,CBA Dedicated Tech [ONS],Chargeable,Recurring,Support,2024-11-14,2026-08-21,465.0,,
1771,Integration - Training,Non-chargeable,Non-chargeable,Consulting,2024-07-23,2025-03-06,5.0,,
1862,DTTL ADL Onsite ONS,Chargeable,Recurring,Support,2024-07-01,2026-08-21,4546.7,,
2192,Bankwest Additional Tech [ONS],Chargeable,Recurring,Support,2024-07-08,2026-08-19,704.0,,
2347,DTTL Dedicated Tech [ONS],Chargeable,Recurring,Support,2025-09-17,2026-06-11,97.0,,
2392,PWC - MEL Technician,Chargeable,Recurring,Support,2024-08-14,2026-08-11,1495.0,,
2402,DTTL SYD Technician [TG],Chargeable,Recurring,Support,2024-07-02,2026-08-21,3315.52,,
2479,CONSULTING - Quotes,Non-chargeable,Non-chargeable,Consulting,2024-07-09,2026-08-21,549.33,,
2480,ONSITE - Quotes,Non-chargeable,Non-chargeable,Support,2024-10-21,2026-07-22,168.67,,
2481,Production - Quotes,Non-chargeable,Non-chargeable,Production,2024-07-03,2026-08-21,757.42,,
2482,VIDEO - Quotes,Non-chargeable,Non-chargeable,Production,2025-02-21,2026-08-04,66.08,,
2488,PWC BNE ONSITE,Chargeable,Recurring,Support,2025-02-19,2026-05-15,837.75,,
