Month,People,Capacity Hours,Leave Hours,Available Hours,Chargeable Hours,Non-Chargeable Hours,Overtime Hours,Utilisation %,Target %,Variance pp
2024-07,44,5710.95,591.0,5119.95,3943.5,1035.0,0.0,0.7702,0.799,-0.0288
2024-08,49,5598.1,408.6,5189.5,4231.2,801.0,12.5,0.8153,0.7973,0.018
2024-09,46,5375.9,589.75,4793.55,3910.0,736.0,11.0,0.8157,0.802,0.0137
2024-10,53,6439.3,833.65,5788.5,4660.75,842.75,174.0,0.8052,0.8083,-0.0031
2024-11,53,5851.5,630.95,5240.06,4740.5,603.0,2.0,0.9047,0.8097,0.095
2024-12,53,5219.95,1616.02,3806.45,2997.25,514.5,10.75,0.7874,0.8118,-0.0243
2025-01,41,5111.24,1061.42,4121.82,3160.82,538.0,13.68,0.7669,0.8271,-0.0603
2025-02,51,4927.3,345.24,4588.05,3698.25,757.25,19.5,0.8061,0.8018,0.0042
2025-03,49,5149.8,509.0,4649.2,3644.5,970.75,26.5,0.7839,0.7999,-0.016
2025-04,52,5321.85,594.0,4727.85,3145.75,934.0,4.0,0.6654,0.8038,-0.1385
2025-05,52,5436.85,485.45,4951.4,3936.0,914.75,47.25,0.7949,0.8038,-0.0089
2025-06,62,5091.2,256.75,4834.85,3540.5,858.25,10.0,0.7323,0.79,-0.0577
2025-07,51,5397.4,353.25,5044.15,3785.5,1204.0,10.75,0.7505,0.8028,-0.0523
2025-08,52,5161.1,504.06,4657.04,3770.0,862.0,48.0,0.8095,0.8008,0.0087
2025-09,46,5275.9,660.0,4615.9,3757.75,926.0,13.25,0.8141,0.8206,-0.0065
2025-10,51,5857.6,533.5,5324.1,4181.25,1085.5,80.75,0.7853,0.7949,-0.0096
2025-11,51,5127.75,546.75,4617.15,3824.0,913.75,66.25,0.8282,0.8006,0.0276
2025-12,51,5159.25,1236.75,3922.5,2777.5,634.75,14.5,0.7081,0.8141,-0.106
2026-01,41,4618.2,661.41,3956.79,2582.75,1021.0,6.0,0.6527,0.8064,-0.1537
2026-02,52,4849.25,354.4,4494.85,3632.0,839.5,17.25,0.808,0.7982,0.0098
2026-03,51,5185.6,258.5,4927.1,4056.25,822.75,33.0,0.8233,0.8075,0.0157
2026-04,49,5131.8,338.0,4793.8,3478.75,856.75,15.5,0.7257,0.8104,-0.0848
2026-05,51,4918.25,359.06,4559.19,3717.16,896.34,27.0,0.8153,0.7984,0.0169
2026-06,50,4756.3,251.39,4520.05,3478.99,923.79,5.5,0.7697,0.7994,-0.0298
2026-07,51,4962.2,512.54,4449.66,3682.59,806.5,35.0,0.8276,0.8018,0.0258
2026-08,50,3331.65,141.75,3189.9,2764.5,432.08,32.25,0.8666,0.7896,0.077
